"","Water_Year","Region","Consumptive_Use_MAF","Date","Type"
"223",1991,"Lower Basin",6.882324,1991-01-01,"No Evap"
"224",1991,"Mexico",1.672878,1991-01-01,"No Evap"
"225",1991,"Upper Basin",4.02833608483495,1991-01-01,"No Evap"
"226",1992,"Lower Basin",6.343324,1992-01-01,"No Evap"
"227",1992,"Mexico",1.655046,1992-01-01,"No Evap"
"228",1992,"Upper Basin",3.94947391115685,1992-01-01,"No Evap"
"229",1993,"Lower Basin",6.797276,1993-01-01,"No Evap"
"230",1993,"Mexico",4.965016,1993-01-01,"No Evap"
"231",1993,"Upper Basin",4.16067196817805,1993-01-01,"No Evap"
"232",1994,"Lower Basin",7.427709,1994-01-01,"No Evap"
"233",1994,"Mexico",1.948616,1994-01-01,"No Evap"
"234",1994,"Upper Basin",4.41564317304685,1994-01-01,"No Evap"
"235",1995,"Lower Basin",7.082335,1995-01-01,"No Evap"
"236",1995,"Mexico",1.825064,1995-01-01,"No Evap"
"237",1995,"Upper Basin",3.76018802111265,1995-01-01,"No Evap"
"238",1996,"Lower Basin",8.03897,1996-01-01,"No Evap"
"239",1996,"Mexico",1.72196,1996-01-01,"No Evap"
"240",1996,"Upper Basin",4.6792976524271,1996-01-01,"No Evap"
"241",1997,"Lower Basin",7.912449,1997-01-01,"No Evap"
"242",1997,"Mexico",2.735432,1997-01-01,"No Evap"
"243",1997,"Upper Basin",3.9877346708863,1997-01-01,"No Evap"
"244",1998,"Lower Basin",7.643204,1998-01-01,"No Evap"
"245",1998,"Mexico",3.871075,1998-01-01,"No Evap"
"246",1998,"Upper Basin",4.31131375635934,1998-01-01,"No Evap"
"247",1999,"Lower Basin",7.802942,1999-01-01,"No Evap"
"248",1999,"Mexico",3.47111,1999-01-01,"No Evap"
"249",1999,"Upper Basin",4.14040197154373,1999-01-01,"No Evap"
"250",2000,"Lower Basin",8.257569,2000-01-01,"No Evap"
"251",2000,"Mexico",2.512892,2000-01-01,"No Evap"
"252",2000,"Upper Basin",5.07536272769445,2000-01-01,"No Evap"
"253",2001,"Lower Basin",8.152803,2001-01-01,"No Evap"
"254",2001,"Mexico",1.995159,2001-01-01,"No Evap"
"255",2001,"Upper Basin",4.77615300331773,2001-01-01,"No Evap"
"256",2002,"Lower Basin",8.528205,2002-01-01,"No Evap"
"257",2002,"Mexico",1.738629,2002-01-01,"No Evap"
"258",2002,"Upper Basin",4.22172060334788,2002-01-01,"No Evap"
"259",2003,"Lower Basin",7.407797,2003-01-01,"No Evap"
"260",2003,"Mexico",1.701521,2003-01-01,"No Evap"
"261",2003,"Upper Basin",4.07853742441954,2003-01-01,"No Evap"
"262",2004,"Lower Basin",7.675382,2004-01-01,"No Evap"
"263",2004,"Mexico",1.643276,2004-01-01,"No Evap"
"264",2004,"Upper Basin",4.14468230467498,2004-01-01,"No Evap"
"265",2005,"Lower Basin",6.832873,2005-01-01,"No Evap"
"266",2005,"Mexico",1.756361,2005-01-01,"No Evap"
"267",2005,"Upper Basin",4.24667038520488,2005-01-01,"No Evap"
"268",2006,"Lower Basin",7.411036,2006-01-01,"No Evap"
"269",2006,"Mexico",1.654773,2006-01-01,"No Evap"
"270",2006,"Upper Basin",4.3452093877263,2006-01-01,"No Evap"
"271",2007,"Lower Basin",7.54531,2007-01-01,"No Evap"
"272",2007,"Mexico",1.619707,2007-01-01,"No Evap"
"273",2007,"Upper Basin",4.25652069020038,2007-01-01,"No Evap"
"274",2008,"Lower Basin",7.491468,2008-01-01,"No Evap"
"275",2008,"Mexico",1.673419,2008-01-01,"No Evap"
"276",2008,"Upper Basin",4.50173933304918,2008-01-01,"No Evap"
"277",2009,"Lower Basin",7.30714,2009-01-01,"No Evap"
"278",2009,"Mexico",1.706675,2009-01-01,"No Evap"
"279",2009,"Upper Basin",4.50452156677445,2009-01-01,"No Evap"
"280",2010,"Lower Basin",7.206668,2010-01-01,"No Evap"
"281",2010,"Mexico",1.728331,2010-01-01,"No Evap"
"282",2010,"Upper Basin",4.46762883805718,2010-01-01,"No Evap"
"283",2011,"Lower Basin",7.627669,2011-01-01,"No Evap"
"284",2011,"Mexico",1.76172,2011-01-01,"No Evap"
"285",2011,"Upper Basin",4.38345058888816,2011-01-01,"No Evap"
"286",2012,"Lower Basin",7.536025,2012-01-01,"No Evap"
"287",2012,"Mexico",1.557446,2012-01-01,"No Evap"
"288",2012,"Upper Basin",4.5477633110784,2012-01-01,"No Evap"
"289",2013,"Lower Basin",7.0944,2013-01-01,"No Evap"
"290",2013,"Mexico",1.607507,2013-01-01,"No Evap"
"291",2013,"Upper Basin",3.79612685829743,2013-01-01,"No Evap"
"292",2014,"Lower Basin",7.693896,2014-01-01,"No Evap"
"293",2014,"Mexico",1.721705,2014-01-01,"No Evap"
"294",2014,"Upper Basin",3.81456230053908,2014-01-01,"No Evap"
"295",2015,"Lower Basin",7.396156,2015-01-01,"No Evap"
