"","Water_Year","State","Category","Region","Apportionment_Countable","Consumptive_Use","Consumptive_Use_MAF","Date"
"146",1973,"Utah","Mineral","Upper Basin","Yes",9725.08,0.00972508,1973-01-01
"147",1973,"Utah","Municipal and Industrial","Upper Basin","Yes",6666.2,0.0066662,1973-01-01
"148",1973,"Utah","Power","Upper Basin","Yes",1863.88128744929,0.00186388128744929,1973-01-01
"149",1973,"Utah","Reservoir Evaporation","Upper Basin","Yes",135214.914728074,0.135214914728074,1973-01-01
"150",1973,"Wyoming","Agriculture","Upper Basin","Yes",285589.258445965,0.285589258445965,1973-01-01
"151",1973,"Wyoming","Export","Upper Basin","Yes",9664,0.009664,1973-01-01
"152",1973,"Wyoming","Import","Upper Basin","Yes",0,0,1973-01-01
"153",1973,"Wyoming","Mineral","Upper Basin","Yes",12628.8,0.0126288,1973-01-01
"154",1973,"Wyoming","Municipal and Industrial","Upper Basin","Yes",3483.1,0.0034831,1973-01-01
"155",1973,"Wyoming","Power","Upper Basin","Yes",6844.55833291161,0.00684455833291161,1973-01-01
"156",1973,"Wyoming","Reservoir Evaporation","Upper Basin","Yes",29599.653601281,0.029599653601281,1973-01-01
"157",1974,"Arizona","Agriculture","Lower Basin","Yes",1178946,1.178946,1974-01-01
"158",1974,"Arizona","Agriculture","Upper Basin","Yes",5370.59743100453,0.00537059743100453,1974-01-01
"159",1974,"Arizona","Export","Lower Basin","Yes",0,0,1974-01-01
"160",1974,"Arizona","Export","Upper Basin","Yes",0,0,1974-01-01
"161",1974,"Arizona","Export Within System","Lower Basin","Yes",0,0,1974-01-01
"162",1974,"Arizona","Import","Upper Basin","Yes",0,0,1974-01-01
"163",1974,"Arizona","Mineral","Upper Basin","Yes",0,0,1974-01-01
"164",1974,"Arizona","Municipal and Industrial","Lower Basin","Yes",17219,0.017219,1974-01-01
"165",1974,"Arizona","Municipal and Industrial","Upper Basin","Yes",3615.5,0.0036155,1974-01-01
"166",1974,"Arizona","Power","Lower Basin","Yes",0,0,1974-01-01
"167",1974,"Arizona","Power","Upper Basin","Yes",3899.69045530939,0.00389969045530939,1974-01-01
"168",1974,"Arizona","Reservoir Evaporation","Upper Basin","Yes",4570.74808,0.00457074808,1974-01-01
"169",1974,"California","Agriculture","Lower Basin","Yes",484276,0.484276,1974-01-01
"170",1974,"California","Export","Lower Basin","Yes",4967954,4.967954,1974-01-01
"171",1974,"California","Export Within System","Lower Basin","Yes",0,0,1974-01-01
"172",1974,"California","Municipal and Industrial","Lower Basin","Yes",4520,0.00452,1974-01-01
"173",1974,"California","Power","Lower Basin","Yes",0,0,1974-01-01
"174",1974,"Colorado","Agriculture","Upper Basin","Yes",1377319.31268397,1.37731931268397,1974-01-01
"175",1974,"Colorado","Export","Upper Basin","Yes",591186.85,0.59118685,1974-01-01
"176",1974,"Colorado","Import","Upper Basin","Yes",-113783.42,-0.11378342,1974-01-01
