"","Water_Year","State","Region","Consumptive_Use_MAF","Date"
"292",1997,"Lower Basin Reservoirs","Lower Basin",1.136176,1997-01-01
"293",1997,"Mexico","Mexico",2.735432,1997-01-01
"294",1997,"Nevada","Lower Basin",0.232468,1997-01-01
"295",1997,"New Mexico","Upper Basin",0.356568427843578,1997-01-01
"296",1997,"Utah","Upper Basin",0.850101971369943,1997-01-01
"297",1997,"Wyoming","Upper Basin",0.541368994018684,1997-01-01
"298",1998,"Arizona","Lower Basin",2.541686,1998-01-01
"299",1998,"Arizona","Upper Basin",0.0365683263261944,1998-01-01
"300",1998,"California","Lower Basin",4.895204,1998-01-01
"301",1998,"Colorado","Upper Basin",1.847402406417,1998-01-01
"302",1998,"Lake Powell","Upper Basin",0.6405680362698,1998-01-01
"303",1998,"Lower Basin Reservoirs","Lower Basin",1.143306,1998-01-01
"304",1998,"Mexico","Mexico",3.871075,1998-01-01
"305",1998,"Nevada","Lower Basin",0.206314,1998-01-01
"306",1998,"New Mexico","Upper Basin",0.371625080126686,1998-01-01
"307",1998,"Utah","Upper Basin",0.912377757829709,1998-01-01
"308",1998,"Wyoming","Upper Basin",0.502772149389954,1998-01-01
"309",1999,"Arizona","Lower Basin",2.501524,1999-01-01
"310",1999,"Arizona","Upper Basin",0.037654107472419,1999-01-01
"311",1999,"California","Lower Basin",5.056933,1999-01-01
"312",1999,"Colorado","Upper Basin",1.59340559621248,1999-01-01
"313",1999,"Lake Powell","Upper Basin",0.6382588362995,1999-01-01
"314",1999,"Lower Basin Reservoirs","Lower Basin",1.19214,1999-01-01
"315",1999,"Mexico","Mexico",3.47111,1999-01-01
"316",1999,"Nevada","Lower Basin",0.244485,1999-01-01
"317",1999,"New Mexico","Upper Basin",0.337061834942801,1999-01-01
"318",1999,"Utah","Upper Basin",0.936654414626579,1999-01-01
"319",1999,"Wyoming","Upper Basin",0.597367181989953,1999-01-01
"320",2000,"Arizona","Lower Basin",2.609123,2000-01-01
"321",2000,"Arizona","Upper Basin",0.040269757060842,2000-01-01
"322",2000,"California","Lower Basin",5.350575,2000-01-01
"323",2000,"Colorado","Upper Basin",2.30783912635487,2000-01-01
"324",2000,"Lake Powell","Upper Basin",0.6153872974339,2000-01-01
"325",2000,"Lower Basin Reservoirs","Lower Basin",1.212894,2000-01-01
"326",2000,"Mexico","Mexico",2.512892,2000-01-01
"327",2000,"Nevada","Lower Basin",0.297871,2000-01-01
"328",2000,"New Mexico","Upper Basin",0.328060960775472,2000-01-01
"329",2000,"Utah","Upper Basin",1.12625488391278,2000-01-01
"330",2000,"Wyoming","Upper Basin",0.657550702156587,2000-01-01
"331",2001,"Arizona","Lower Basin",2.74344,2001-01-01
"332",2001,"Arizona","Upper Basin",0.0386360781742201,2001-01-01
"333",2001,"California","Lower Basin",5.122877,2001-01-01
"334",2001,"Colorado","Upper Basin",2.12809180404046,2001-01-01
"335",2001,"Lake Powell","Upper Basin",0.5693845414474,2001-01-01
"336",2001,"Lower Basin Reservoirs","Lower Basin",1.098445,2001-01-01
"337",2001,"Mexico","Mexico",1.995159,2001-01-01
"338",2001,"Nevada","Lower Basin",0.286486,2001-01-01
"339",2001,"New Mexico","Upper Basin",0.34783165522251,2001-01-01
"340",2001,"Utah","Upper Basin",1.05983413953921,2001-01-01
"341",2001,"Wyoming","Upper Basin",0.632374784893935,2001-01-01
"342",2002,"Arizona","Lower Basin",2.858147,2002-01-01
"343",2002,"Arizona","Upper Basin",0.0380561369985282,2002-01-01
"344",2002,"California","Lower Basin",5.346281,2002-01-01
"345",2002,"Colorado","Upper Basin",1.94105629369212,2002-01-01
"346",2002,"Lake Powell","Upper Basin",0.4834067195809,2002-01-01
"347",2002,"Lower Basin Reservoirs","Lower Basin",1.076646,2002-01-01
"348",2002,"Mexico","Mexico",1.738629,2002-01-01
"349",2002,"Nevada","Lower Basin",0.323777,2002-01-01
"350",2002,"New Mexico","Upper Basin",0.294156926597841,2002-01-01
"351",2002,"Utah","Upper Basin",0.915177184157929,2002-01-01
"352",2002,"Wyoming","Upper Basin",0.549867342320561,2002-01-01
"353",2003,"Arizona","Lower Basin",2.634688,2003-01-01
"354",2003,"Arizona","Upper Basin",0.0368301073349096,2003-01-01
"355",2003,"California","Lower Basin",4.492764,2003-01-01
"356",2003,"Colorado","Upper Basin",1.8409332998031,2003-01-01
"357",2003,"Lake Powell","Upper Basin",0.3912130650641,2003-01-01
"358",2003,"Lower Basin Reservoirs","Lower Basin",0.944343,2003-01-01
"359",2003,"Mexico","Mexico",1.701521,2003-01-01
"360",2003,"Nevada","Lower Basin",0.280345,2003-01-01
"361",2003,"New Mexico","Upper Basin",0.339543832352508,2003-01-01
"362",2003,"Utah","Upper Basin",0.924306170202591,2003-01-01
"363",2003,"Wyoming","Upper Basin",0.545710949662333,2003-01-01
"364",2004,"Arizona","Lower Basin",2.955497,2004-01-01
"365",2004,"Arizona","Upper Basin",0.0374932985293691,2004-01-01
"366",2004,"California","Lower Basin",4.444761,2004-01-01
"367",2004,"Colorado","Upper Basin",1.94823903194375,2004-01-01
"368",2004,"Lake Powell","Upper Basin",0.3238243718832,2004-01-01
"369",2004,"Lower Basin Reservoirs","Lower Basin",0.902185,2004-01-01
"370",2004,"Mexico","Mexico",1.643276,2004-01-01
"371",2004,"Nevada","Lower Basin",0.275124,2004-01-01
"372",2004,"New Mexico","Upper Basin",0.36830642218235,2004-01-01
"373",2004,"Utah","Upper Basin",0.952019511360387,2004-01-01
"374",2004,"Wyoming","Upper Basin",0.514799668775917,2004-01-01
"375",2005,"Arizona","Lower Basin",2.364757,2005-01-01
"376",2005,"Arizona","Upper Basin",0.0364218806313365,2005-01-01
"377",2005,"California","Lower Basin",4.203353,2005-01-01
