"","HUC6","Peak_Avg_SWE","Snow_Year","Date","Days2Peak"
"254","Colorado Headwaters",18.1307692308,2003,2003-01-01,206
"255","Full Basin",10.8354968782846,2003,2003-01-01,171
"256","Gunnison",16.7333333333,2003,2003-01-01,190
"257","Little Colorado",8.6,2003,2003-01-01,169
"258","Lower Colorado - Lake Mead",7.025,2003,2003-01-01,171
"259","Lower Green",11.6714285714,2003,2003-01-01,189
"260","Salt",6.6777777778,2003,2003-01-01,156
"261","Upper Colorado - Dirty Devil",9.4,2003,2003-01-01,189
"262","Upper Colorado - Dolores",12.6875,2003,2003-01-01,181
"263","Upper Gila",4.6142857143,2003,2003-01-01,157
"264","Upper Green",14.9105263158,2003,2003-01-01,189
"265","Upper San Juan",16.2833333333,2003,2003-01-01,181
"266","Verde",4.12,2003,2003-01-01,155
"267","White Yampa",21.4666666667,2003,2003-01-01,190
"268","Colorado Headwaters",12.9428571429,2004,2004-01-01,168
"269","Full Basin",12.2209780862538,2004,2004-01-01,158
"270","Gunnison",15.775,2004,2004-01-01,160
"271","Little Colorado",8.5714285714,2004,2004-01-01,157
"272","Lower Colorado - Lake Mead",13.05,2004,2004-01-01,157
"273","Lower Green",13.5333333333,2004,2004-01-01,159
"274","Salt",6.8777777778,2004,2004-01-01,157
"275","Upper Colorado - Dirty Devil",11.9714285714,2004,2004-01-01,158
"276","Upper Colorado - Dolores",14.225,2004,2004-01-01,158
"277","Upper Gila",5.6714285714,2004,2004-01-01,157
"278","Upper Green",12.4631578947,2004,2004-01-01,166
"279","Upper San Juan",21.05,2004,2004-01-01,156
"280","Verde",6.18,2004,2004-01-01,157
"281","White Yampa",17.7,2004,2004-01-01,161
"282","Colorado Headwaters",17.9896551724,2005,2005-01-01,193
"283","Full Basin",17.8251603273692,2005,2005-01-01,181
"284","Gunnison",24.2307692308,2005,2005-01-01,193
"285","Little Colorado",15.1428571429,2005,2005-01-01,156
"286","Lower Colorado - Lake Mead",27.59,2005,2005-01-01,181
"287","Lower Green",22.5,2005,2005-01-01,183
"288","Salt",9.8888888889,2005,2005-01-01,157
"289","Upper Colorado - Dirty Devil",20.0857142857,2005,2005-01-01,183
"290","Upper Colorado - Dolores",21.9666666667,2005,2005-01-01,187
"291","Upper Gila",7.5285714286,2005,2005-01-01,158
"292","Upper Green",14.5315789474,2005,2005-01-01,183
"293","Upper San Juan",33.6769230769,2005,2005-01-01,188
"294","Verde",10,2005,2005-01-01,149
"295","White Yampa",20.305,2005,2005-01-01,183
"296","Colorado Headwaters",19.2,2006,2006-01-01,189
"297","Full Basin",12.1441891958615,2006,2006-01-01,189
"298","Gunnison",18.1692307692,2006,2006-01-01,189
"299","Little Colorado",3.8714285714,2006,2006-01-01,173
"300","Lower Colorado - Lake Mead",10.43,2006,2006-01-01,182
"301","Lower Green",19.4047619048,2006,2006-01-01,189
"302","Salt",3.3777777778,2006,2006-01-01,165
"303","Upper Colorado - Dirty Devil",13.8142857143,2006,2006-01-01,188
"304","Upper Colorado - Dolores",14.3666666667,2006,2006-01-01,188
"305","Upper Gila",1.7428571429,2006,2006-01-01,164
"306","Upper Green",17.9894736842,2006,2006-01-01,188
"307","Upper San Juan",17.3538461538,2006,2006-01-01,189
"308","Verde",2.58,2006,2006-01-01,172
"309","White Yampa",25.735,2006,2006-01-01,189
"310","Colorado Headwaters",14.2206896552,2007,2007-01-01,195
"311","Full Basin",9.30865541822308,2007,2007-01-01,155
"312","Gunnison",13.0384615385,2007,2007-01-01,162
"313","Little Colorado",7.1714285714,2007,2007-01-01,148
"314","Lower Colorado - Lake Mead",6.05,2007,2007-01-01,151
"315","Lower Green",9.3,2007,2007-01-01,162
"316","Salt",6.2888888889,2007,2007-01-01,148
"317","Upper Colorado - Dirty Devil",6.8571428571,2007,2007-01-01,159
"318","Upper Colorado - Dolores",11.6666666667,2007,2007-01-01,161
"319","Upper Gila",5.6285714286,2007,2007-01-01,145
"320","Upper Green",11.4421052632,2007,2007-01-01,185
"321","Upper San Juan",15.0615384615,2007,2007-01-01,206
"322","Verde",4.4,2007,2007-01-01,144
"323","White Yampa",16.415,2007,2007-01-01,163
"324","Colorado Headwaters",23.83,2008,2008-01-01,195
"325","Full Basin",15.8835985337308,2008,2008-01-01,156
"326","Gunnison",25.3153846154,2008,2008-01-01,195
"327","Little Colorado",16.0714285714,2008,2008-01-01,147
"328","Lower Colorado - Lake Mead",16.02,2008,2008-01-01,150
"329","Lower Green",18.0318181818,2008,2008-01-01,194
"330","Salt",11.5888888889,2008,2008-01-01,146
"331","Upper Colorado - Dirty Devil",12.8285714286,2008,2008-01-01,174
"332","Upper Colorado - Dolores",21.5777777778,2008,2008-01-01,195
"333","Upper Gila",6.7,2008,2008-01-01,146
"334","Upper Green",16.2263157895,2008,2008-01-01,195
"335","Upper San Juan",30.1538461538,2008,2008-01-01,195
"336","Verde",11.8,2008,2008-01-01,147
"337","White Yampa",27.32,2008,2008-01-01,196
"338","Colorado Headwaters",20.35,2009,2009-01-01,200
"339","Full Basin",12.2656482732308,2009,2009-01-01,146
"340","Gunnison",19.3071428571,2009,2009-01-01,200
"341","Little Colorado",10.87,2009,2009-01-01,140
"342","Lower Colorado - Lake Mead",14.0153846154,2009,2009-01-01,146
"343","Lower Green",15.4727272727,2009,2009-01-01,198
"344","Salt",9.6666666667,2009,2009-01-01,140
"345","Upper Colorado - Dirty Devil",9.5714285714,2009,2009-01-01,198
"346","Upper Colorado - Dolores",16.6222222222,2009,2009-01-01,187
"347","Upper Gila",3.875,2009,2009-01-01,134
"348","Upper Green",17.0842105263,2009,2009-01-01,198
"349","Upper San Juan",21.9307692308,2009,2009-01-01,200
"350","Verde",9.1428571429,2009,2009-01-01,142
"351","White Yampa",25.825,2009,2009-01-01,194
