"","Water_Year","State","Consumptive_Use_MAF","Date"
"398",2010,"NewMexico",0.375947971208272,2010-01-01
"399",2010,"Utah",1.06239623915481,2010-01-01
"400",2010,"Wyoming",0.656474361164555,2010-01-01
"401",2011,"Arizona",2.86843241779591,2011-01-01
"402",2011,"California",4.574193,2011-01-01
"403",2011,"Colorado",1.99121823786075,2011-01-01
"404",2011,"Lake Powell",0.4672364837623,2011-01-01
"405",2011,"Lower Basin Reservoirs",0.815497,2011-01-01
"406",2011,"Mexico",1.76172,2011-01-01
"407",2011,"Nevada",0.219301,2011-01-01
"408",2011,"NewMexico",0.395868935488621,2011-01-01
"409",2011,"Utah",0.914430214916064,2011-01-01
"410",2011,"Wyoming",0.580439299064517,2011-01-01
"411",2012,"Arizona",2.95181166727873,2012-01-01
"412",2012,"California",4.383884,2012-01-01
"413",2012,"Colorado",2.08626517680226,2012-01-01
"414",2012,"Lake Powell",0.4549838539628,2012-01-01
"415",2012,"Lower Basin Reservoirs",0.878473,2012-01-01
"416",2012,"Mexico",1.557446,2012-01-01
"417",2012,"Nevada",0.23275,2012-01-01
"418",2012,"NewMexico",0.382385317745898,2012-01-01
"419",2012,"Utah",0.990068447647082,2012-01-01
"420",2012,"Wyoming",0.601639847641635,2012-01-01
"421",2013,"Arizona",2.66730857363403,2013-01-01
"422",2013,"California",4.230875,2013-01-01
"423",2013,"Colorado",1.68450849491656,2013-01-01
"424",2013,"Lake Powell",0.3609105718763,2013-01-01
"425",2013,"Lower Basin Reservoirs",0.847609,2013-01-01
"426",2013,"Mexico",1.607507,2013-01-01
"427",2013,"Nevada",0.231001,2013-01-01
"428",2013,"NewMexico",0.310358560718911,2013-01-01
"429",2013,"Utah",0.861929565929443,2013-01-01
"430",2013,"Wyoming",0.543635091222191,2013-01-01
"431",2014,"Arizona",2.85210276006011,2014-01-01
"432",2014,"California",4.655209,2014-01-01
"433",2014,"Colorado",1.65939862548688,2014-01-01
"434",2014,"Lake Powell",0.3471717948642,2014-01-01
"435",2014,"Lower Basin Reservoirs",0.808484,2014-01-01
"436",2014,"Mexico",1.721705,2014-01-01
"437",2014,"Nevada",0.221226,2014-01-01
"438",2014,"NewMexico",0.34166254052853,2014-01-01
"439",2014,"Utah",0.900792157508629,2014-01-01
"440",2014,"Wyoming",0.530895422090731,2014-01-01
"441",2015,"Arizona",2.67667617141942,2015-01-01
"442",2015,"California",4.523503,2015-01-01
"443",2015,"Colorado",1.64374223241309,2015-01-01
"444",2015,"Lake Powell",0.3680928712683,2015-01-01
"445",2015,"Lower Basin Reservoirs",0.792942,2015-01-01
"446",2015,"Mexico",1.657207,2015-01-01
"447",2015,"Nevada",0.226393,2015-01-01
"448",2015,"NewMexico",0.352497356688649,2015-01-01
"449",2015,"Utah",1.05213609579432,2015-01-01
"450",2015,"Wyoming",0.66061638558877,2015-01-01
"451",2016,"Arizona",2.62317937798812,2016-01-01
"452",2016,"California",4.513078,2016-01-01
"453",2016,"Colorado",1.81948796373756,2016-01-01
"454",2016,"Lake Powell",0.3783689845128,2016-01-01
"455",2016,"Lower Basin Reservoirs",0.773602,2016-01-01
"456",2016,"Mexico",1.645777,2016-01-01
"457",2016,"Nevada",0.22967,2016-01-01
"458",2016,"NewMexico",0.344637445851169,2016-01-01
"459",2016,"Utah",0.979364576981324,2016-01-01
"460",2016,"Wyoming",0.624813034431998,2016-01-01
"461",2017,"Arizona",2.52188736669878,2017-01-01
"462",2017,"California",3.966151,2017-01-01
"463",2017,"Colorado",2.05229173397651,2017-01-01
"464",2017,"Lake Powell",0.4086930889236,2017-01-01
"465",2017,"Lower Basin Reservoirs",0.782254,2017-01-01
"466",2017,"Mexico",1.647206,2017-01-01
"467",2017,"Nevada",0.241756,2017-01-01
"468",2017,"NewMexico",0.430123864744742,2017-01-01
"469",2017,"Utah",1.07151083621536,2017-01-01
"470",2017,"Wyoming",0.617612855380112,2017-01-01
"471",2018,"Arizona",2.60993463456999,2018-01-01
"472",2018,"California",4.418577,2018-01-01
"473",2018,"Colorado",2.20336713561656,2018-01-01
"474",2018,"Lake Powell",0.3863460534463,2018-01-01
"475",2018,"Lower Basin Reservoirs",0.808933,2018-01-01
"476",2018,"Mexico",1.616521,2018-01-01
"477",2018,"Nevada",0.246963,2018-01-01
